abv,degree,sweet,acidity,body,tannin,price,year
13.56048159,16.48300283,1.033994334,4.067988669,2.980169972,3.1898017,125453.796,5.858356941
13.67544658,17.03327496,1.021015762,3.197898424,4.108581436,3.520140105,146631.3485,15.69001751
12.50869565,12.06521739,1.086956522,3.130434783,3,1,47956.52174,4.608695652
10.5,10.66666667,3.666666667,2,2.333333333,1.333333333,45600,7.333333333
12.44444444,11.80555556,1.555555556,3.166666667,2.333333333,1.111111111,37055.55556,13.11111111
8.75,8,4.5,2,4,1,105000,5
12.59090909,8.363636364,1.272727273,3.181818182,2.363636364,1,48263.63636,4
10.66666667,11.75,2,2.166666667,1.833333333,1,27500,13.66666667
5.136363636,7.272727273,3.909090909,1.454545455,2.272727273,1,28627.27273,1.818181818
13.04545455,10.40909091,1.090909091,3.181818182,2.727272727,2.090909091,48909.09091,3
12.575,12.4,1.05,2.95,2,1,44285,4.25
13.5,9.5,1.25,3.25,3,1.5,178750,7.5
10.54166667,10.25,3.166666667,2.666666667,2.5,1,28966.99198,0.75
12.45,16,1.5,4.5,3.5,2.5,73500,8
12.18544304,7.430379747,1.101265823,4,3.202531646,1,142898.7342,0.417721519
12,9,1.545454545,2.909090909,3.363636364,2.272727273,77272.72727,0.636363636
11.5,7.875,3.25,2.555555556,2.694444444,1,64538.88889,1.555555556
12.25,7.4,1.055555556,5,2.866666667,1.011111111,212777.7778,0.666666667
6.232142857,8,3.964285714,1.321428571,2.964285714,1,48891.88312,4.892857143
6.616666667,7.166666667,3.924242424,1.893939394,2.090909091,1.03030303,30523.07163,0.363636364
12.28076923,8.211538462,1,4.807692308,3,1,370932.6923,16.96153846
11.78314607,7.213483146,1.168539326,2.820224719,3.134831461,1,71911.23596,0.460674157
11.48024691,7.333333333,1.259259259,2.839506173,1.913580247,1,47543.20988,0.864197531
11.90298507,7.873134328,1.104477612,4.029850746,1.910447761,1,65693.43284,0.373134328
12.08333333,7.083333333,1,4.416666667,3.75,1,1135166.667,10.83333333
12.1254902,7.441176471,1.078431373,3.450980392,3.196078431,1,139390.1961,11.35294118
13.12335244,10.61174785,1.094555874,2.965616046,3,1,65168.86253,4.8252149
7.676433121,8.082802548,3.923566879,2.057324841,2.299363057,1,42757.56142,2.089171975
13.66388889,10.84953704,1.023148148,3.263888889,4.069444444,1,154969.4444,6.259259259
12.65029703,10.17079208,1.148514851,2.920792079,1.935643564,1,41600.49505,4.044554455
13.06717742,10.62298387,1.052419355,4.193548387,3.040322581,1,98543.49078,4.830645161
13.37258065,11.41935484,1,4.274193548,4.048387097,1,588687.8252,13.53225806
12.54410377,9.858490566,1.04245283,4.127358491,1.919811321,1,52430.55305,3.919811321
13.10734463,10.89548023,1.096045198,2.960451977,2.587570621,1.011299435,60394.91525,13.71751412
10.89285714,10.3125,2.589285714,4.517857143,2.607142857,1,78792.85714,9.035714286
10.22306818,8.994318182,4.511363636,2.056818182,2.636363636,1,134235.2273,12.54545455
12.75595092,10.8190184,1.018404908,4.343558282,2.380368098,1,68820.8589,13.09815951
12.02625,8.3375,4.85,2.9625,4.2875,1,216481.25,9.325
