Label,abv,degree,sweet,acidity,body,tannin,price,year
Sparkling0,12,7,1,5,4,1,350000,19
Sparkling0,12,7,1,5,4,1,180000,0
Sparkling0,12,7,1,5,4,1,130000,0
Sparkling0,12,7,1,5,4,1,346500,13
Sparkling0,12,7,1,5,3,1,34000,0
Sparkling0,12.5,7,1,5,3,1,280000,13
Sparkling0,12.5,10.5,1,5,3,1,160000,6
Sparkling0,12,7,1,5,3,1,95000,0
Sparkling0,12,7,1,5,4,1,1360000,0
Sparkling0,12.5,7,1,5,3,1,120000,9
Sparkling0,12.5,7,1,5,4,1,150000,15
Sparkling0,11.5,7,1,5,3,1,300000,9
Sparkling0,12.5,7,1,5,4,1,1100000,0
Sparkling0,12.5,7,1,5,4,1,1700000,17
Sparkling0,12.5,7,1,5,4,1,150000,0
Sparkling0,12.5,7,1,5,3,1,120000,0
Sparkling0,11.5,7,2,5,3,1,45000,0
Sparkling0,12.5,7,1,5,3,1,180000,0
Sparkling0,12.5,7,1,5,3,1,70000,0
Sparkling0,12,8.5,1,5,3,1,160000,0
Sparkling0,12,9,1,5,3,1,120000,0
Sparkling0,12.5,7,1,5,4,1,320000,0
Sparkling0,12.5,7,1,5,3,1,540000,0
Sparkling0,12.5,7,1,5,3,1,60000,7
Sparkling0,12.5,7,1,5,3,1,130000,0
Sparkling0,12,7,1,5,3,1,250000,0
Sparkling0,12,8,1,5,4,1,310000,13
Sparkling0,12,8,1,5,3,1,180000,0
Sparkling0,12,7,1,5,3,1,90000,0
Sparkling0,12,7,1,5,3,1,220000,9
Sparkling0,12.5,7,1,5,3,1,200000,0
Sparkling0,12.5,7,1,5,3,1,160000,0
Sparkling0,12.5,7,1,5,3,1,196000,0
Sparkling0,12.5,7,1,5,4,1,240000,15
Sparkling0,12.5,11,1,5,3,1,420000,13
Sparkling0,12.5,7,1,5,3,1,110000,0
Sparkling0,12.5,7,1,5,3,1,400000,0
Sparkling0,12.5,7,1,5,3,1,500000,10
Sparkling0,12.5,7,1,5,3,1,300000,0
Sparkling0,12.5,7,1,5,3,1,380000,0
Sparkling0,12.5,7,1,5,3,1,270000,0
Sparkling1,10.5,7,4,2,3,1,25000,0
Sparkling1,13,9,3,3,3,1,20700,0
Sparkling1,13,15,2,2,3,1,20700,0
Sparkling1,13,11,3,3,3,1,20700,0
Sparkling1,12,7,3,3,3,1,124000,0
Sparkling1,13.5,7,3,3,3,1,121000,5
Sparkling1,12,9,4,2,3,1,25000,0
Sparkling1,12,7,3,2,2,1,22000,0
Sparkling1,11.5,7,3,3,2,1,25000,0
Sparkling1,11.5,5.5,3,2,2,1,13800,15
Sparkling1,11.5,7,2,2,3,1,48000,0
Sparkling1,12,7,3,3,2,1,59000,14
Sparkling1,11.5,7,5,3,4,1,354000,0
Sparkling1,13.5,8,3,2,2,1,22000,14
Sparkling1,12,7,3,2,3,1,15000,0
Sparkling1,12,9,4,3,2,1,33000,0
Sparkling1,12,9,3,3,3,1,150000,0
Sparkling1,12,7,4,3,3,1,60000,0
Sparkling1,12,8,3,2,3,1,43000,0
Sparkling1,11.5,11,2,2,3,1,55000,0
Sparkling1,11.5,7,3,3,2,1,70000,0
Sparkling1,12,7,2,2,3,1,63500,0
Sparkling1,11.5,7,3,2,3,1,32000,0
Sparkling1,9.5,10.5,3,2,2,1,35000,0
Sparkling1,12,6.5,4,3,4,1,72000,0
Sparkling1,10,7,4,2,3,1,17000,0
Sparkling1,11.5,5,3,3,2,1,30000,0
Sparkling1,11.5,7,3,2,3,1,38000,0
Sparkling1,7.5,13,3,3,3,1,50000,8
Sparkling1,11.5,7,2,2,3,1,40000,0
Sparkling1,11.5,7,2,2,3,1,36000,0
Sparkling1,11,7,3,2,2,1,42000,0
Sparkling1,7.5,7,3,3,3,1,30000,0
Sparkling1,10,7,3,2,3,1,50000,0
Sparkling1,10.5,7,2,2,3,1,16000,0
Sparkling1,12.5,7,3,3,3,1,150000,0
Sparkling1,11.5,7,3,3,3,1,50000,0
Sparkling1,12,7,4,2,3,1,183000,0
Sparkling1,8,7,3,3,2,1,34000,0
Sparkling1,11.5,9,3,2,3,2,89000,0
Sparkling1,11,7,4,2,2,1,35500,0
Sparkling1,12.5,7,3,4,2,1,190000,0
Sparkling1,10.5,7,4,3,2,1,40000,0
Sparkling2,11.5,7,2,3,3,1,40000,0
Sparkling2,12.5,8,1,4,3,1,156000,19
Sparkling2,12,7,1,4,3,1,178000,0
Sparkling2,12.5,7,1,4,3,1,220000,0
Sparkling2,12,8,1,3,3,1,39000,0
Sparkling2,11.5,8,2,3,3,1,41000,0
Sparkling2,9.5,7,1,3,3,1,30000,16
Sparkling2,11.5,11,1,3,3,1,20000,0
Sparkling2,11.5,11,1,3,3,1,50000,18
Sparkling2,12,7,1,4,3,1,124000,0
Sparkling2,12.5,7,1,4,3,1,85000,0
Sparkling2,12.5,7,1,3,3,1,95000,0
Sparkling2,13,7,1,4,3,1,90000,17
Sparkling2,12.7,7,1,3,3,1,95000,19
Sparkling2,12.5,7,1,4,3,1,290000,11
Sparkling2,12.5,7,1,3,3,1,267000,14
Sparkling2,12.5,5,1,3,3,1,56000,10
Sparkling2,11.5,7,1,3,3,1,50000,0
Sparkling2,12,7,1,3,3,1,50000,0
Sparkling2,12.5,7,1,3,3,1,119000,0
Sparkling2,12.5,7,1,4,3,1,166000,6
Sparkling2,12.5,8,1,3,3,1,216000,6
Sparkling2,12,7,1,4,3,1,210000,0
Sparkling2,12,5,1,4,3,1,550000,0
Sparkling2,12.5,7,1,4,3,1,80000,0
Sparkling2,12.5,7,1,4,3,1,130000,17
Sparkling2,11.5,7,1,3,3,1,35000,0
Sparkling2,11.7,7,2,4,3,1,38000,0
Sparkling2,11.5,6,1,3,3,1,25000,0
Sparkling2,12,7,1,3,3,1,69000,5
Sparkling2,12,7,1,3,3,1,80000,7
Sparkling2,12.8,7,1,4,3,1,70000,0
Sparkling2,12,8,1,4,3,1,143000,0
Sparkling2,12.5,7,1,4,3,1,216000,6
Sparkling2,12.5,7,1,3,3,1,63000,0
Sparkling2,12,8,1,4,3,1,225000,21
