,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,Argentina,Australia,Austria,Bulgaria,Canada,Chile,Croatia,France,Georgia,Germany,Greece,Hungary,Israel,Italy,Japan,Korea,Moldova,NewZealand,Portugal,Romania,Slovenia,Spain,SouthAfrica,UK,Uruguay,USA
118,85000,175000,,,,25000,,85000,,25000,,,,275000,,,,45000,,,,15000,35000,,,25000
119,35000,275000,,,,15000,,175000,,35000,,,,85000,,,,45000,,,,45000,35000,,,25000
120,45000,225000,,,,35000,,45000,,35000,,,,85000,,,,60000,,,,45000,35000,,,85000
121,60000,45000,,,,45000,,45000,,125000,,,,85000,,,,85000,,,,60000,85000,,,85000
122,45000,85000,,,,125000,,60000,,85000,,,,175000,,,,45000,,,,60000,85000,,,175000
123,125000,60000,,,,35000,,45000,,85000,,,,60000,,,,85000,,,,125000,60000,,,85000
124,25000,85000,,,,15000,,45000,,125000,,,,225000,,,,225000,,,,125000,60000,,,175000
125,35000,25000,,,,15000,,85000,,125000,,,,60000,,,,25000,,,,35000,60000,,,125000
126,45000,25000,,,,85000,,125000,,225000,,,,175000,,,,85000,,,,85000,45000,,,60000
127,25000,25000,,,,85000,,125000,,375000,,,,125000,,,,85000,,,,375000,60000,,,60000
128,35000,60000,,,,125000,,325000,,375000,,,,225000,,,,85000,,,,125000,45000,,,60000
129,85000,125000,,,,175000,,375000,,375000,,,,125000,,,,15000,,,,45000,45000,,,60000
130,15000,85000,,,,175000,,125000,,175000,,,,175000,,,,25000,,,,60000,45000,,,175000
131,15000,85000,,,,175000,,175000,,60000,,,,175000,,,,35000,,,,25000,60000,,,375000
132,15000,45000,,,,175000,,85000,,85000,,,,275000,,,,60000,,,,25000,,,,375000
133,15000,35000,,,,45000,,25000,,60000,,,,85000,,,,60000,,,,85000,,,,375000
134,25000,275000,,,,35000,,35000,,15000,,,,85000,,,,60000,,,,275000,,,,85000
135,60000,175000,,,,35000,,85000,,25000,,,,175000,,,,45000,,,,325000,,,,125000
136,25000,45000,,,,35000,,375000,,175000,,,,15000,,,,45000,,,,225000,,,,125000
137,25000,45000,,,,35000,,45000,,85000,,,,15000,,,,45000,,,,25000,,,,125000
138,25000,45000,,,,35000,,125000,,85000,,,,85000,,,,45000,,,,15000,,,,125000
139,25000,35000,,,,35000,,85000,,,,,,125000,,,,45000,,,,5000,,,,125000
140,60000,35000,,,,35000,,225000,,,,,,275000,,,,85000,,,,15000,,,,125000
141,60000,35000,,,,25000,,45000,,,,,,85000,,,,60000,,,,15000,,,,25000
142,35000,175000,,,,25000,,60000,,,,,,85000,,,,175000,,,,25000,,,,25000
143,45000,85000,,,,35000,,225000,,,,,,60000,,,,85000,,,,60000,,,,25000
144,35000,35000,,,,35000,,125000,,,,,,175000,,,,60000,,,,85000,,,,85000
145,175000,35000,,,,25000,,35000,,,,,,125000,,,,85000,,,,35000,,,,35000
146,25000,35000,,,,25000,,85000,,,,,,125000,,,,60000,,,,5000,,,,85000
147,25000,35000,,,,35000,,125000,,,,,,85000,,,,125000,,,,35000,,,,85000
148,25000,35000,,,,35000,,175000,,,,,,85000,,,,85000,,,,5000,,,,85000
149,60000,60000,,,,60000,,45000,,,,,,225000,,,,125000,,,,25000,,,,85000
150,125000,60000,,,,60000,,45000,,,,,,125000,,,,60000,,,,25000,,,,175000
151,45000,60000,,,,125000,,45000,,,,,,60000,,,,85000,,,,25000,,,,45000
152,25000,60000,,,,60000,,25000,,,,,,175000,,,,85000,,,,35000,,,,45000
153,45000,60000,,,,60000,,25000,,,,,,125000,,,,60000,,,,35000,,,,45000
154,60000,125000,,,,25000,,25000,,,,,,60000,,,,175000,,,,15000,,,,85000
155,175000,125000,,,,60000,,60000,,,,,,60000,,,,85000,,,,5000,,,,175000
156,85000,60000,,,,25000,,85000,,,,,,45000,,,,,,,,5000,,,,85000
157,60000,175000,,,,35000,,60000,,,,,,85000,,,,,,,,25000,,,,85000
158,225000,25000,,,,25000,,85000,,,,,,175000,,,,,,,,35000,,,,85000
159,60000,25000,,,,60000,,85000,,,,,,85000,,,,,,,,125000,,,,15000
160,60000,25000,,,,45000,,85000,,,,,,60000,,,,,,,,325000,,,,15000
161,25000,25000,,,,60000,,275000,,,,,,60000,,,,,,,,15000,,,,25000
162,225000,25000,,,,35000,,25000,,,,,,175000,,,,,,,,85000,,,,15000
163,85000,25000,,,,125000,,35000,,,,,,375000,,,,,,,,35000,,,,15000
164,85000,25000,,,,85000,,275000,,,,,,45000,,,,,,,,60000,,,,15000
165,85000,125000,,,,35000,,125000,,,,,,45000,,,,,,,,5000,,,,45000
166,45000,125000,,,,35000,,60000,,,,,,35000,,,,,,,,25000,,,,35000
167,35000,125000,,,,60000,,60000,,,,,,35000,,,,,,,,5000,,,,35000
168,125000,125000,,,,125000,,35000,,,,,,60000,,,,,,,,25000,,,,60000
169,25000,375000,,,,35000,,35000,,,,,,15000,,,,,,,,25000,,,,60000
170,175000,375000,,,,35000,,25000,,,,,,85000,,,,,,,,25000,,,,85000
171,35000,375000,,,,60000,,25000,,,,,,35000,,,,,,,,25000,,,,85000
172,125000,85000,,,,35000,,175000,,,,,,60000,,,,,,,,25000,,,,85000
173,60000,85000,,,,35000,,375000,,,,,,45000,,,,,,,,15000,,,,85000
174,45000,45000,,,,60000,,175000,,,,,,60000,,,,,,,,15000,,,,85000
175,45000,35000,,,,125000,,125000,,,,,,25000,,,,,,,,5000,,,,85000
176,60000,60000,,,,35000,,45000,,,,,,35000,,,,,,,,5000,,,,85000
177,35000,60000,,,,60000,,35000,,,,,,45000,,,,,,,,15000,,,,175000
178,35000,85000,,,,60000,,35000,,,,,,85000,,,,,,,,60000,,,,175000
179,35000,25000,,,,60000,,35000,,,,,,85000,,,,,,,,375000,,,,85000
180,35000,85000,,,,60000,,85000,,,,,,25000,,,,,,,,175000,,,,225000
181,45000,85000,,,,45000,,35000,,,,,,85000,,,,,,,,125000,,,,60000
182,60000,125000,,,,85000,,60000,,,,,,60000,,,,,,,,60000,,,,45000
183,45000,225000,,,,85000,,45000,,,,,,85000,,,,,,,,25000,,,,60000
184,45000,85000,,,,275000,,15000,,,,,,125000,,,,,,,,35000,,,,60000
185,35000,175000,,,,85000,,125000,,,,,,175000,,,,,,,,60000,,,,375000
186,35000,60000,,,,25000,,35000,,,,,,175000,,,,,,,,60000,,,,375000
187,125000,15000,,,,25000,,125000,,,,,,85000,,,,,,,,35000,,,,375000
188,45000,5000,,,,25000,,375000,,,,,,85000,,,,,,,,35000,,,,25000
189,125000,5000,,,,25000,,45000,,,,,,175000,,,,,,,,45000,,,,25000
190,125000,5000,,,,45000,,60000,,,,,,175000,,,,,,,,35000,,,,175000
191,45000,45000,,,,45000,,85000,,,,,,125000,,,,,,,,45000,,,,125000
192,375000,60000,,,,45000,,175000,,,,,,85000,,,,,,,,60000,,,,60000
193,175000,85000,,,,15000,,225000,,,,,,125000,,,,,,,,60000,,,,35000
194,125000,125000,,,,15000,,275000,,,,,,175000,,,,,,,,45000,,,,85000
195,85000,275000,,,,125000,,85000,,,,,,45000,,,,,,,,60000,,,,45000
196,60000,85000,,,,175000,,25000,,,,,,175000,,,,,,,,15000,,,,60000
197,35000,35000,,,,25000,,125000,,,,,,85000,,,,,,,,25000,,,,125000
198,60000,35000,,,,35000,,175000,,,,,,375000,,,,,,,,125000,,,,225000
199,60000,15000,,,,60000,,375000,,,,,,375000,,,,,,,,125000,,,,175000
200,25000,325000,,,,60000,,375000,,,,,,375000,,,,,,,,85000,,,,125000
201,35000,275000,,,,45000,,85000,,,,,,375000,,,,,,,,45000,,,,375000
202,45000,60000,,,,45000,,35000,,,,,,85000,,,,,,,,35000,,,,375000
203,35000,85000,,,,45000,,375000,,,,,,175000,,,,,,,,60000,,,,85000
204,35000,85000,,,,25000,,15000,,,,,,60000,,,,,,,,25000,,,,225000
205,175000,175000,,,,125000,,15000,,,,,,60000,,,,,,,,125000,,,,175000
206,275000,35000,,,,45000,,175000,,,,,,375000,,,,,,,,85000,,,,125000
207,60000,125000,,,,45000,,125000,,,,,,125000,,,,,,,,85000,,,,60000
208,60000,85000,,,,60000,,85000,,,,,,225000,,,,,,,,35000,,,,175000
209,60000,85000,,,,25000,,60000,,,,,,125000,,,,,,,,85000,,,,125000
210,60000,85000,,,,25000,,25000,,,,,,45000,,,,,,,,125000,,,,45000
211,5000,25000,,,,15000,,35000,,,,,,60000,,,,,,,,25000,,,,45000
212,5000,45000,,,,15000,,60000,,,,,,85000,,,,,,,,45000,,,,45000
213,85000,45000,,,,15000,,60000,,,,,,85000,,,,,,,,35000,,,,45000
214,85000,275000,,,,45000,,60000,,,,,,125000,,,,,,,,35000,,,,35000
215,125000,85000,,,,25000,,85000,,,,,,85000,,,,,,,,25000,,,,35000
216,125000,125000,,,,25000,,85000,,,,,,225000,,,,,,,,25000,,,,85000
217,60000,60000,,,,25000,,375000,,,,,,85000,,,,,,,,60000,,,,85000
218,60000,225000,,,,35000,,225000,,,,,,35000,,,,,,,,25000,,,,225000
219,60000,375000,,,,35000,,60000,,,,,,275000,,,,,,,,45000,,,,125000
220,125000,325000,,,,35000,,60000,,,,,,60000,,,,,,,,60000,,,,125000
221,60000,25000,,,,35000,,45000,,,,,,125000,,,,,,,,60000,,,,85000
222,60000,60000,,,,45000,,85000,,,,,,125000,,,,,,,,85000,,,,60000
223,125000,60000,,,,35000,,85000,,,,,,85000,,,,,,,,35000,,,,15000
224,125000,45000,,,,35000,,85000,,,,,,175000,,,,,,,,45000,,,,15000
225,45000,25000,,,,60000,,85000,,,,,,45000,,,,,,,,5000,,,,125000
226,45000,125000,,,,175000,,60000,,,,,,125000,,,,,,,,15000,,,,125000
227,45000,60000,,,,85000,,60000,,,,,,45000,,,,,,,,15000,,,,60000
228,60000,25000,,,,25000,,85000,,,,,,85000,,,,,,,,45000,,,,225000
229,85000,25000,,,,25000,,25000,,,,,,375000,,,,,,,,25000,,,,25000
230,125000,60000,,,,35000,,85000,,,,,,60000,,,,,,,,60000,,,,45000
231,225000,60000,,,,35000,,35000,,,,,,375000,,,,,,,,35000,,,,125000
232,35000,125000,,,,45000,,60000,,,,,,375000,,,,,,,,15000,,,,125000
233,35000,375000,,,,35000,,85000,,,,,,85000,,,,,,,,15000,,,,125000
234,35000,225000,,,,85000,,15000,,,,,,275000,,,,,,,,15000,,,,125000
235,85000,225000,,,,25000,,15000,,,,,,85000,,,,,,,,35000,,,,125000
236,35000,275000,,,,25000,,45000,,,,,,85000,,,,,,,,60000,,,,125000
237,45000,375000,,,,25000,,85000,,,,,,35000,,,,,,,,125000,,,,125000
238,60000,375000,,,,25000,,45000,,,,,,35000,,,,,,,,25000,,,,125000
239,35000,125000,,,,85000,,125000,,,,,,85000,,,,,,,,60000,,,,60000
240,35000,35000,,,,60000,,60000,,,,,,60000,,,,,,,,175000,,,,125000
241,35000,35000,,,,35000,,225000,,,,,,60000,,,,,,,,35000,,,,375000
242,60000,35000,,,,5000,,175000,,,,,,35000,,,,,,,,45000,,,,45000
243,85000,35000,,,,5000,,375000,,,,,,25000,,,,,,,,60000,,,,85000
244,85000,45000,,,,5000,,325000,,,,,,85000,,,,,,,,85000,,,,125000
245,125000,125000,,,,15000,,375000,,,,,,45000,,,,,,,,85000,,,,60000
246,60000,45000,,,,15000,,375000,,,,,,45000,,,,,,,,125000,,,,375000
247,60000,60000,,,,15000,,45000,,,,,,85000,,,,,,,,125000,,,,375000
248,375000,175000,,,,25000,,35000,,,,,,45000,,,,,,,,25000,,,,60000
249,45000,25000,,,,25000,,45000,,,,,,35000,,,,,,,,25000,,,,60000
250,25000,60000,,,,45000,,60000,,,,,,60000,,,,,,,,5000,,,,375000
251,25000,60000,,,,45000,,60000,,,,,,85000,,,,,,,,15000,,,,325000
252,25000,60000,,,,60000,,45000,,,,,,125000,,,,,,,,15000,,,,375000
253,125000,60000,,,,60000,,45000,,,,,,45000,,,,,,,,15000,,,,225000
